,City,Temp,Humidity,Cloudiness,Wind Speed,Latitudes
0,kodinar,76.24,97,92,13.56,18.05122320194606
1,glenwood springs,80.22,33,1,5.82,39.00224085669288
2,vaini,68.59,98,92,6.96,-33.95524386004142
3,avarua,75.2,94,90,8.05,-58.31074480994796
4,takoradi,75.79,100,56,9.98,-3.744654855828145
5,esperance,84.2,74,20,9.17,-41.443485339018835
6,zonguldak,70.57,80,0,6.73,43.57569325699217
7,rikitea,72.55,100,92,10.2,-21.782378585555776
8,lebu,57.2,93,75,4.7,-30.427230233879655
9,bluff,53.74,88,0,4.16,-71.00336979097415
10,punta arenas,32.0,94,20,6.93,-59.993221462150416
11,castro,51.49,96,92,6.06,-49.1122038711014
12,new norfolk,50.0,81,0,6.62,-61.137280517255164
13,longyearbyen,48.2,76,75,5.82,88.55631496627836
14,hilo,75.92,83,90,8.05,10.925403332783048
15,rawson,64.18,31,76,12.33,-44.59442426146458
16,iquitos,78.8,83,75,6.93,-2.5001436703849436
17,carnarvon,30.52,85,48,4.61,-22.713552063201732
18,klaksvik,50.0,93,92,14.99,72.41446523993139
19,namatanai,80.29,100,88,5.95,-0.11804078343574531
20,cape town,53.6,87,75,6.93,-38.80131137010242
21,busselton,55.99,100,68,22.17,-57.58754379793237
22,geraldton,68.0,82,90,13.87,-31.597056297509837
23,nome,84.74,83,75,5.82,60.82917422976803
24,umm lajj,79.12,100,0,2.71,26.20398158156253
25,evensk,56.17,92,0,12.66,62.092598127422235
26,kodiak,89.6,43,1,12.75,42.934997917110394
27,ushuaia,35.6,74,75,28.86,-81.3995838122202
28,picayune,84.54,58,1,5.82,30.50394880947674
29,mataura,29.17,83,48,2.82,-88.47951138324903
30,chirongui,77.0,83,0,5.82,-13.795743814017484
31,dikson,45.46,88,20,10.31,71.70371240163561
32,yellowknife,57.2,54,40,4.7,63.591745654762036
33,zhigansk,49.06,97,92,11.1,69.22636519271754
34,tuktoyaktuk,57.2,76,90,11.41,89.33915369501881
35,roswell,97.63,19,1,5.82,33.74059829082698
36,vallenar,60.94,65,0,2.59,-29.02375250441225
37,sawtell,50.0,100,0,2.59,-30.338058345174524
38,khilok,53.92,87,68,3.15,50.67229553466933
39,shitanjing,63.55,85,12,2.71,39.38579888951688
40,jamestown,51.94,44,0,20.49,-33.96006226252747
41,albany,82.71,51,75,3.36,-43.34901004169243
42,bastia,84.2,62,20,5.82,42.50996856402813
43,estelle,97.29,28,40,13.87,28.424353488453832
44,salamanca,73.4,46,0,4.7,-31.67595078214523
45,iqaluit,53.6,46,90,3.36,60.32791241426088
46,sibu,75.2,94,75,2.93,2.561879580814008
47,tralee,80.17,69,1,2.93,52.40049932507239
48,kutum,69.04,90,80,4.94,18.013732754627583
49,upernavik,42.76,85,24,5.17,86.06980437247023
50,kloulklubed,82.4,78,90,14.99,6.117775511369544
51,nelson bay,46.4,81,0,4.7,-36.119737221177076
52,hermanus,48.52,100,80,2.71,-81.05192923163155
53,kilis,77.0,47,0,9.17,36.764694284771195
